time,cpu,mem
1575001227.0429187,29.0,12.4
1575001228.044298,29.8,12.4
1575001229.0456176,28.5,12.4
1575001230.046661,29.2,12.4
1575001231.0481102,21.7,12.6
1575001232.0498137,2.8,12.6
1575001233.0515518,1.6,12.6
1575001234.053237,5.3,12.6
1575001235.054666,29.3,13.2
1575001236.055917,14.9,16.1
1575001237.057142,39.5,16.1
1575001238.0584598,38.1,16.1
1575001239.0597253,40.1,16.1
1575001240.0610516,39.0,16.1
1575001241.0623405,40.6,16.1
1575001242.0626593,38.3,16.1
1575001243.0639985,40.6,16.1
1575001244.0652697,38.1,16.1
1575001245.0665197,39.8,16.1
1575001246.067759,40.1,16.1
1575001247.0690472,39.2,16.1
1575001248.0703475,39.8,16.1
1575001249.070663,22.3,12.5
1575001250.0712683,26.6,12.4
1575001251.0725377,21.9,12.4
1575001252.0737565,19.9,12.4
1575001253.0746577,20.2,12.4
1575001254.0760355,20.5,12.4
1575001255.0773141,20.7,12.5
1575001256.0786333,20.8,12.4
1575001257.0799599,22.3,12.4
1575001258.0813155,24.9,12.8
1575001259.0826168,20.8,12.6
1575001260.083984,20.2,12.7
1575001261.0852277,22.4,13.1
1575001262.086532,6.5,13.3
1575001263.0882514,4.8,13.3
1575001264.090181,5.5,13.4
1575001265.091475,12.8,16.1
1575001266.0927212,33.5,16.2
1575001267.0939748,36.6,16.2
1575001268.0952804,36.1,16.2
1575001269.0966313,38.3,16.2
1575001270.0979538,36.4,16.2
1575001271.0987058,36.3,16.2
1575001272.0999532,38.4,16.2
1575001273.100214,38.2,16.2
1575001274.1015143,36.4,16.2
1575001275.1026738,37.8,16.2
1575001276.1039145,36.6,16.2
1575001277.1052835,36.0,16.2
1575001278.1066368,36.2,16.2
1575001279.1079512,32.4,16.2
1575001280.1092153,16.3,12.6
1575001281.1105433,16.5,12.6
1575001282.1118171,14.3,12.6
1575001283.1131115,16.3,12.6
1575001284.1143634,14.6,12.6
1575001285.1147056,15.8,12.6
1575001286.1159964,13.4,12.6
1575001287.117298,7.2,12.6
1575001288.1191242,2.3,12.6
1575001289.1207993,9.8,12.6
1575001290.1220858,38.3,12.6
1575001291.122686,29.7,12.4
1575001292.1240292,29.6,12.5
1575001293.1253133,29.2,12.5
1575001294.1265907,29.4,12.5
1575001295.1279283,28.9,12.6
1575001296.129228,12.6,12.7
1575001297.1309688,2.7,12.6
1575001298.132703,1.5,12.6
1575001299.1344004,16.1,12.8
1575001300.1356485,22.6,15.8
1575001301.1368802,26.4,16.1
1575001302.1381571,40.0,16.0
1575001303.1386583,40.5,16.0
1575001304.1398792,37.6,16.0
1575001305.141146,39.7,16.1
1575001306.1424315,38.8,16.0
1575001307.1437404,41.2,16.1
1575001308.145025,40.0,16.1
1575001309.146324,40.3,16.0
1575001310.1466677,39.1,16.0
1575001311.1479843,39.5,16.0
1575001312.1492279,38.6,16.0
1575001313.150459,36.8,16.1
1575001314.1511052,22.2,12.4
1575001315.151968,24.9,12.4
1575001316.153226,20.1,12.4
1575001317.1544652,21.7,12.4
1575001318.1557748,23.1,12.4
1575001319.157046,22.9,12.5
1575001320.1583924,23.2,12.4
1575001321.159714,23.2,12.4
1575001322.1611402,22.6,12.8
1575001323.1624544,30.3,12.6
1575001324.1630762,14.9,12.7
1575001325.164758,23.7,13.0
1575001326.1660128,10.6,13.3
1575001327.1679084,5.1,13.3
1575001328.1696577,3.9,13.3
1575001329.1706862,12.4,16.1
1575001330.1719303,32.7,16.2
1575001331.173206,37.6,16.2
1575001332.1744838,37.5,16.2
1575001333.175857,36.0,16.2
1575001334.1771762,36.3,16.2
1575001335.178463,36.9,16.2
1575001336.1798165,36.4,16.2
1575001337.1811037,36.6,16.2
1575001338.1823545,37.2,16.2
1575001339.1826665,37.4,16.2
1575001340.183919,35.7,16.2
1575001341.18517,37.5,16.2
1575001342.1865673,35.9,16.2
1575001343.1878493,34.3,16.2
1575001344.1883922,16.4,12.6
1575001345.1888816,19.1,12.7
1575001346.190218,13.3,12.6
1575001347.191257,15.0,12.6
1575001348.1920652,13.1,12.6
1575001349.1933255,15.1,12.7
1575001350.1945689,13.3,12.6
1575001351.1959517,8.5,12.6
1575001352.1977649,2.3,12.6
1575001353.19866,9.3,12.6
1575001354.1999428,40.3,12.6
1575001355.2012286,27.7,12.5
1575001356.2024899,29.3,12.5
1575001357.2037358,29.6,12.5
1575001358.2050161,29.3,12.5
1575001359.2062933,30.2,12.5
1575001360.2076766,12.6,12.7
1575001361.209342,1.9,12.7
1575001362.2110834,1.5,12.6
1575001363.2128077,1.6,12.6
1575001364.2145045,14.5,12.7
1575001365.2158086,22.6,15.5
1575001366.2170694,20.7,16.1
1575001367.218406,37.4,16.1
1575001368.2197003,40.0,16.1
1575001369.2209473,40.0,16.0
1575001370.222189,39.3,16.0
1575001371.222665,39.2,16.0
1575001372.2239132,38.3,16.1
1575001373.2251651,39.0,16.1
1575001374.226468,38.4,16.0
1575001375.2278004,41.7,16.1
1575001376.2290509,38.8,16.1
1575001377.2303634,40.1,16.0
1575001378.2306578,34.7,16.1
1575001379.2312803,25.5,12.4
1575001380.2320368,25.5,12.5
1575001381.2333198,22.0,12.5
1575001382.2346516,21.7,12.5
1575001383.235996,22.4,12.5
1575001384.2372909,22.8,12.4
1575001385.2386255,22.7,12.4
1575001386.239918,23.7,12.4
1575001387.2412252,23.0,12.4
1575001388.2416549,31.4,12.8
1575001389.2431817,11.3,12.6
1575001390.2448027,17.6,12.7
1575001391.2460651,23.4,13.2
1575001392.246741,7.0,13.3
1575001393.2484674,4.9,13.3
1575001394.250141,8.8,16.0
1575001395.2506678,20.4,16.2
1575001396.2519248,36.6,16.2
1575001397.253178,37.3,16.2
1575001398.254548,38.5,16.2
1575001399.2558053,36.9,16.2
1575001400.2570639,37.9,16.2
1575001401.2583776,37.7,16.2
1575001402.2586808,36.4,16.2
1575001403.2599587,34.9,16.2
1575001404.2612066,38.4,16.2
1575001405.262581,37.9,16.2
1575001406.2639127,35.3,16.2
1575001407.2652032,34.7,16.2
1575001408.266531,36.4,16.2
1575001409.2678816,24.5,12.5
1575001410.2691584,15.3,12.7
1575001411.2703896,16.6,12.7
1575001412.270659,13.4,12.6
1575001413.271947,14.5,12.6
1575001414.2732332,14.4,12.6
1575001415.2744858,13.5,12.6
1575001416.2759616,13.8,12.6
1575001417.277794,2.3,12.6
1575001418.2795198,2.4,12.6
1575001419.2813444,28.2,12.6
1575001420.2826772,33.7,12.5
1575001421.2840867,30.3,12.5
1575001422.2854471,28.9,12.5
1575001423.286659,30.2,12.5
1575001424.2879794,29.6,12.5
